emp_no,first_name,last_name,salary,gender,to_date
10198,Pranav,Furedi,44076,M,9999-01-01
10001,Georgi,Facello,60117,M,9999-01-01
10004,Chirstian,Koblick,40054,M,9999-01-01
10009,Sumant,Peac,60929,F,9999-01-01
10018,Kazuhide,Peha,55881,F,9999-01-01
10035,Alain,Chappelet,41538,M,9999-01-01
10053,Sanjiv,Zschoche,67854,F,9999-01-01
10058,Berhard,McFarlin,52787,M,9999-01-01
10066,Kwee,Schusler,69736,M,9999-01-01
10067,Claudi,Stavenow,44642,M,9999-01-01
10070,Reuven,Garigliano,55999,M,9999-01-01
10072,Hironoby,Sidou,40000,F,9999-01-01
10076,Erez,Ritzmann,47319,F,9999-01-01
10088,Jungsoon,Syrzycki,65957,F,9999-01-01
10100,Hironobu,Haraldson,54398,F,9999-01-01
10103,Akemi,Birch,68158,M,9999-01-01
10126,Kayoko,Valtorta,40000,M,9999-01-01
10129,Armond,Peir,40000,M,9999-01-01
10130,Nishit,Casperson,40000,M,9999-01-01
10134,Diederik,Siprelle,40000,M,9999-01-01
10138,Perry,Shimshoni,53574,M,9999-01-01
10150,Zhenbing,Perng,70122,F,9999-01-01
10153,Heekeun,Majewski,54246,M,9999-01-01
10157,Nigel,Aloisi,48770,M,9999-01-01
10372,Anneli,Frijda,54505,F,9999-01-01
10387,Parto,Wrigley,61374,F,9999-01-01
10396,Sibyl,Rahier,40393,M,9999-01-01
10402,Volkmar,Ebeling,40000,M,9999-01-01
10404,Prodip,Rosti,51647,F,9999-01-01
10426,Arunas,Luce,65757,F,9999-01-01
10429,Martien,Improta,40000,F,9999-01-01
10432,Hisao,Tiemann,40000,F,9999-01-01
10451,Bodh,Ranta,46275,F,9999-01-01
10453,Tsvetan,Matzel,40000,F,9999-01-01
10463,Ung,Zaiane,66480,M,9999-01-01
10486,Amstein,Kossowski,71692,F,9999-01-01
10494,Yakkov,Servieres,50094,F,9999-01-01
10504,Xiong,Varker,43931,M,9999-01-01
10512,Udi,Gihr,40000,M,9999-01-01
10522,Marke,Cesareni,40000,F,9999-01-01
10548,Ramalingam,Gunderson,90631,M,9999-01-01
10564,Jianhao,Thisen,46660,M,9999-01-01
10215,Xiaobin,Duclos,43944,M,9999-01-01
10224,Leon,Trogemann,40000,M,9999-01-01
10623,Aleksander,Danlos,60268,F,9999-01-01
10233,Lein,Vendrig,40000,F,9999-01-01
